TIME DATA - SEED 4
CPU TIME,OBJ_VALUE
26589.3,4.07505e+08
26589.4,4.0751e+08
26589.5,4.05927e+08
26589.6,4.07501e+08
26589.6,4.06258e+08
26589.7,4.06154e+08
26589.7,4.0751e+08
26589.7,4.07025e+08
26589.8,4.07141e+08
26589.9,4.07511e+08
26590,4.06098e+08
26590,4.06013e+08
26590.1,4.0749e+08
26590.1,4.0652e+08
26590.1,4.0751e+08
26590.2,4.07485e+08
26590.4,4.07367e+08
26590.5,4.07491e+08
26590.8,4.07496e+08
26590.8,4.07511e+08
26590.9,4.07467e+08
26590.9,4.07509e+08
26591,4.07141e+08
26591.1,4.06705e+08
26591.1,4.07511e+08
26591.2,4.06955e+08
26591.3,4.07505e+08
26591.5,4.05867e+08
26591.5,4.07504e+08
26591.6,4.07487e+08
26591.6,4.05791e+08
26591.8,4.07511e+08
26592.3,4.07511e+08
26592.4,4.06152e+08
26592.5,4.07511e+08
26592.5,4.06727e+08
26592.6,4.07481e+08
26592.7,4.07511e+08
26592.8,4.07436e+08
26592.9,4.05783e+08
26593,4.07414e+08
26593,4.07508e+08
26593.1,4.0721e+08
26593.2,4.0734e+08
26593.4,4.07509e+08
26593.4,4.07508e+08
26593.5,4.06219e+08
26593.7,4.07511e+08
26593.7,4.07511e+08
26593.8,4.06741e+08
26593.8,4.06991e+08
26593.9,4.07511e+08
26593.9,4.07504e+08
26594,4.05181e+08
26594.1,4.06731e+08
26594.2,4.06959e+08
26594.3,4.07501e+08
26594.6,4.07502e+08
26594.6,4.07503e+08
26594.8,4.0633e+08
26594.8,4.0704e+08
26594.8,4.05554e+08
26594.9,4.07503e+08
26594.9,4.07511e+08
26594.9,4.07163e+08
26595,4.07356e+08
26595.1,4.05747e+08
26595.2,4.07089e+08
26595.5,4.07445e+08
26595.6,4.07509e+08
26595.7,4.07066e+08
26596.2,4.06129e+08
26596.2,4.07511e+08
26596.3,4.07504e+08
26596.3,4.07128e+08
26596.4,4.0748e+08
26596.4,4.06152e+08
26596.6,4.06434e+08
26596.7,4.07505e+08
26596.9,4.07511e+08
26597,4.07057e+08
26597,4.07014e+08
26597.1,4.05041e+08
26597.1,4.07496e+08
26597.1,4.07509e+08
26597.2,4.07465e+08
26597.2,4.07502e+08
26597.2,4.07059e+08
26597.3,4.06849e+08
26597.3,4.07201e+08
26597.4,4.07465e+08
26597.4,4.07063e+08
26597.6,4.07105e+08
26597.6,4.0749e+08
26597.6,4.07511e+08
26597.7,4.0716e+08
26597.7,4.07496e+08
26597.7,4.07362e+08
26597.7,4.07482e+08
26597.8,4.06749e+08
26597.9,4.07341e+08
26597.9,4.06182e+08
26597.9,4.07511e+08
26598.1,4.07482e+08
26598.2,4.06328e+08
26598.2,4.07503e+08
26598.3,4.07492e+08
26598.4,4.0671e+08
26598.4,4.07112e+08
26598.6,4.07504e+08
26598.7,4.06631e+08
26598.8,4.0693e+08
26599.1,4.07502e+08
26599.1,4.06968e+08
26599.2,4.07505e+08
26599.3,4.05875e+08
26599.4,4.07511e+08
26599.5,4.07506e+08
26599.6,4.06115e+08
26599.6,4.07487e+08
26599.6,4.06818e+08
26599.9,4.07493e+08
26599.9,4.07504e+08
26599.9,4.07472e+08
26600,4.0664e+08
26600.1,4.07505e+08
26600.2,4.06159e+08
26600.2,4.06423e+08
26600.3,4.07463e+08
26600.3,4.07508e+08
26600.7,4.06147e+08
26600.8,4.07511e+08
26601,4.07505e+08
26601.1,4.06087e+08
26601.2,4.06221e+08
26601.3,4.07488e+08
26601.3,4.06308e+08
26601.6,4.06375e+08
26601.9,4.06189e+08
26602,4.07511e+08
26602.2,4.06099e+08
26602.4,4.06146e+08
26602.6,4.07124e+08
26602.6,4.07511e+08
26602.7,4.07511e+08
26602.8,4.07489e+08
26602.9,4.07503e+08
26603,4.07248e+08
26603,4.07172e+08
26603.1,4.06838e+08
26603.1,4.06254e+08
26603.3,4.06826e+08
26603.5,4.07511e+08
26603.6,4.0751e+08
26603.7,4.06433e+08
26603.9,4.07506e+08
26604,4.07503e+08
26604.1,4.07503e+08
26604.2,4.07511e+08
26604.3,4.0741e+08
26604.3,4.07482e+08
26604.3,4.07511e+08
26604.3,4.07503e+08
26604.4,4.07495e+08
26604.7,4.07484e+08
26604.9,4.05826e+08
26605,4.07511e+08
26605,4.0703e+08
26605.1,4.069e+08
26605.1,4.06637e+08
26605.2,4.07491e+08
26605.2,4.07314e+08
26605.2,4.06871e+08
26605.4,4.07376e+08
26605.4,4.07482e+08
26605.5,4.07363e+08
26605.7,4.07511e+08
26605.7,4.07503e+08
26605.8,4.07496e+08
26605.9,4.0708e+08
26605.9,4.07486e+08
26605.9,4.075e+08
26606,4.07503e+08
26606.2,4.06837e+08
26606.3,4.07503e+08
26606.3,4.07498e+08
26606.5,4.07481e+08
26606.6,4.0751e+08
26606.6,4.07498e+08
26606.6,4.06883e+08
26606.7,4.07487e+08
26606.8,4.06873e+08
26606.8,4.07503e+08
26606.8,4.07511e+08
26607,4.06214e+08
26607.1,4.07394e+08
26607.2,4.07498e+08
